구분,상호,업종,소재지,주소,전화번호,할인내용
1,(주)대청산업개발 괴산(양평방향)휴게소,음식업,괴산군,충청북도 괴산군 장연면 중부내륙고속도로 204,043-832-6594,이용금액의 3%할인
2,24시 전주콩나물국밥,음식업,괴산군,충청북도 괴산군 청천면 청천2길 5,043-832-0369,이용금액의 3% 할인
3,SK텔레콤,통신기기,괴산군,충청북도 괴산군 괴산읍 동부리 627,,이용금액의 3% 할인
4,가나철물공구,철물,괴산군,충청북도 괴산군 괴산읍 읍내로 9길10,043-832-0904,다자녀우대카드 소지시 5%할인
5,가마솥 손두부,음식업,괴산군,충청북도 괴산군 사리면 중부로 363,043-836-5737,이용금액의 3% 할인
6,가마솥보리밥,음식업,괴산군,충청북도 괴산군 청안면 청안읍내로 53-4,043-836-1150,세자녀이상 가구 가족동반 현금결제시5%할인
7,가족농원식당,음식업,괴산군,충청북도 괴산군 문광면 괴산로 2596,043-832-4242,매주 주말 가족동반 이용금액의10% 할인
8,갈론주막,음식업,괴산군,충청북도 괴산군 칠성면 칠성로 10길 535,043-832-5614,이용금액의 3% 할인
9,강변식당,음식업,괴산군,충청북도 괴산군 칠성면 명태재로 298,043-832-3957,이용금액의 3% 할인
10,강은네,음식업,괴산군,충청북도 괴산군 불정면 목도로 48 ,043-833-7507,음료수 서비스 제공
11,갱치식당,음식업,괴산군,충청북도 괴산군 괴산읍 문무로 역고개길 73-1,043-832-7850,현금결재시 10%할이
12,거리고개,음식업,괴산군,충청북도 괴산군  청안며 질마로1463,043-834-9480,다자녀우대카드이용결제시3%할인
13,걸스샵,의류,괴산군,충청북도 괴산군 괴산읍 동부리 680-4,,3만원현금결재 3000월할인 오만원결재5000월할인 
14,경아두마리치킨,음식업,괴산군,충청북도 괴산군 청천면 괴산로 1350(1층),043-832-3833,이용금액의 5% 할인
15,고도리삼겹살,음식업,괴산군,충청북도 괴산군 사리면 방축길 58-1,043-836-1183,이용금액의 3% 할인
16,고사리산장,음식업,괴산군,충청북도 괴산군 연풍면 새재로 1825,043-832-2116,다자녀카드 소지 가족 5% 할인
17,고향마을쉼터,음식업,괴산군,충청북도 괴산군 소수면 상경로 716,043-832-1721,다자녀 가정 10%할인
18,골목식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로2길 65-11,043-834-9359,동반 자녀당 음료수 1병씩 제공
19,괴강올갱이전문점,음식업,괴산군,충청북도 괴산군 괴산읍 충민로 1,043-832-1144,다자녀우대카드 소지시 2%할인
20,괴산 산막이매운탕,음식업,괴산군,충청북도 괴산군 칠성면 산막이옛길 80-11,043-834-9116,이용금액의 3% 할인
21,괴산꽃집,화원,괴산군,충청북도 괴산군 괴산읍 읍내로12길 7,043-832-3232,30000원이상 구매시 5% 할인
22,괴산매운탕,음식업,괴산군,충청북도 괴산군 괴산읍 괴강로 248,043-832-2838,이용금액의 5% 할인
23,괴산산낙지,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로 15길30,043-833-8253,다자녀우대카드 소지시 5%할인
24,괴산손짜장,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로 18길 19-1,043-832-6868,다자녀가구 방문시 현금결재3%할인
25,괴산어린이집,유치원,괴산군,충청북도 괴산군 괴산읍 읍내로6길 20-5,043-832-0414,두자녀 입학시 50%할인입학용품 50%할인
26,괴산의료기,의료기,괴산군,충청북도 괴산군 괴산읍 괴강로 24,,이용금액의 3% 할인
27,괴산점오토큐,자동차관련,괴산군,충청북도 괴산군 괴산읍 괴강로 155,043-834-2525,공임 5%할인
28,괴산한도니로컬푸드,음식업,괴산군,충청북도 괴산군 사리면 사리로 226-5,043-838-6090,이용금액의 3% 할인
29,국수Caf가온비,휴게음식점,괴산군,충청북도 괴산군 괴산읍 괴강로 15,043-832-0406,이용금액의 5% 할인
30,군자식당,음식업,괴산군,충청북도 괴산군 칠성면 괴강로 445 ,043-832-5167,이용금액의 3%할인
31,금강지업사,도배,괴산군,충청북도 괴산군 괴산읍 읍내로 16길 7,043-832-0801,이용금액의 3% 할인
32,금강헤어아트,미용업,괴산군,충청북도 괴산군 괴산읍 읍내로2길 40,043-832-3649,다자녀우대카드 결제시 5%할인
33,금계골,음식업,괴산군,충청북도 괴산군 감물면 도전로 289,043-833-6998,이용금액의 3% 할인
34,금호쉼터,음식업,괴산군,충청북도 괴산군 칠성면 쌍곡로 5,043-832-7566,카드결제시 10%할인자녀생일시 20%할인
35,기사식당,음식업,괴산군,충청북도 괴산군 괴산읍 괴강로 8,043-833-5794,현금결재시 3%할인
36,기아부동산,부동산,괴산군,충청북도 괴산군 괴산읍 괴강로 155,043-832-6969,부동산중개수수료20%할인
37,길성이네,음식업,괴산군,충청북도 괴산군 불정면 목도로2길 14. 1층,043-833-7548,이용금액의 3% 할인
38,김박사칡냉면,음식업,괴산군,충청북도 괴산군 사리면 방축길 60,043-836-6954,이용금액의 3% 할인
39,김우연한정식,음식업,괴산군,충청북도 괴산군 감물면 충민로덕운리길 15-12,043-833-9183,매주수요일 가족동반 이용금액의 5% 할인
40,까페 바람소리,유치원,괴산군,충청북도 괴산군  칠성면 쌍곡로 491,043-832-0451,다자녀우대카드이용결제시3%할인
41,꽃나들이,꽃,괴산군,충청북도 괴산군 괴산읍 읍내로11길 9-1,043-834-3000,현금오만원이상 결재시 10%할인
42,꿀꾸리식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로15길 39,043-832-1352,다자녀우대카드 소지시 5% 할인
43,나무골건강원,제조업,괴산군,충청북도 괴산군 청천면 청천2길6,043-832-0061,이용금액의 5% 할인
44,남산식당,음식업,괴산군,충청북도 괴산군 장연면 연풍로 507 ,043-832-6811,주말 5%할인
45,남양건강원,제조업,괴산군,충청북도 괴산군 감물면 감물로 42,043-833-9129,이용금액의 3% 할인
46,네네치킨,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로13길 17-1,043-834-4492,다자녀우대카드 결제시 5%할인
47,녹지화원,꽃,괴산군,충청북도 괴산군 괴산읍 동부리 632-8,043-833-3311,현금5만이상 구매시 3천원할인
48,농촌맛체험식당,음식업,괴산군,충청북도 괴산군 장연면 충민로 1675,043-832-4903,이용금액의 2% 할인
49,느티울,음식업,괴산군,충청북도 괴산군 칠성면 괴강로 326,043-832-3419,주말 3자녀이상 동행가족 결제시10%할인및 자녀생일시 20%할인
50,능이랑,음식업,괴산군,충청북도 괴산군 문광면 모래재로윈터1길 1,043-832-6576,매주월요일 가족이용시10%할인(아이포함)
51,다래정,음식업,괴산군,충청북도 괴산군 괴산읍 동진천길 165,043-832-1246,전체금액 5% 할인
52,다은이네쭈구미삼겹살,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로10길 13,043-833-5655,이용금액의 3% 할인
53,다해국수전문점,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로 5길 11,043-833-1378,이용금액의 5% 할인
54,단아한정식,음식업,괴산군,충청북도 괴산군 감물면 충민로성골길 48,043-832-1322,이용금액의 3% 할인
55,대가,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로7길 8,043-833-3101,이용금액의 3% 할인
56,대가짬뽕,중식,괴산군,충청북도 괴산군 감물면 충민로 725,043-834-4848,이용금액의 3% 할인
57,대명손가든,음식업,괴산군,충청북도 괴산군 소수면 소수로7길 4,043-834-7776,3자녀이상가족 동행시 10%할인
58,대보유통㈜괴산(마산)휴게소,음식업,괴산군,충청북도 괴산군 장연면 중부내륙고속도로 205 ,043-832-7966,이용금액의 3%할인
59,대성식당,음식업,괴산군,충청북도 괴산군 감물면 충민로신대길 5-10,043-833-9225,주말 3자녀이상 동행 가족 10% 할인
60,대성정육식당,음식업,괴산군,충청북도 괴산군 연풍면 향교로행정2길 21,043-833-5045,이용금액의 3% 할인
61,대우세차장,세차,괴산군,충청북도 괴산군 괴산읍 괴강로 155,043-832-6969,최대10%할인
62,덕수궁,음식업,괴산군,충청북도 괴산군 청천면 청천2길3,043-832-1567,이용금액의 10% 할인
63,델리하우수,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로2길 30,043-832-0543,이용금액의 5% 할인
